TYPE,ADULT_JUVENILE,YEAR,DATETIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,GLOBALID
Possession,Adult,2012,2012/07/25 05:10:00+00,b'\xee[AA\xc0\x1c/',21,3D,304,398000,139700,304,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,FAIRMONT ST NW,397200,139600,MARIJUANA_ARRESTS_2222,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14702,{C8702EBA-59FB-45F9-92EB-69CFDBF2DAA5}
Possession,Adult,2012,2012/07/25 18:10:00+00,b'\x15\xf5wo\xe0s\x95',56,1D,104,400800,137100,409,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,900 BLOCK OF 12TH ST NE,400900,134600,MARIJUANA_ARRESTS_2223,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14703,{AD9C4EBD-3558-417D-88A9-291D3331D92B}
Possession,Adult,2012,2012/07/25 20:32:00+00,b'q/yF\x1fHJ',20,5D,507,401500,136200,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Poss Marijuana,300 BLOCK OF 16TH ST NE,401500,136200,MARIJUANA_ARRESTS_2224,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14704,{EE3F88F4-25AD-47B2-9409-731F3037A9EF}
Possession,Adult,2012,2012/07/25 21:35:00+00,b'\xb0wUX\x97K\xd2',30,6D,604,,,706,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4700 BLOCK OF F ST SE,,,MARIJUANA_ARRESTS_2225,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14705,{00160FEE-E01D-4EBA-A3C7-0AEA836A77C5}
Possession,Adult,2012,2012/07/25 22:10:00+00,b'2\xa6pB\xc2\xe8g',38,6D,604,405700,135300,504,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4800 BLOCK OF TEXAS AVE SE,405300,135700,MARIJUANA_ARRESTS_2226,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14706,{47590155-ABFF-42FD-9DDD-CE10EC656B32}
Possession with intent to distribute,Adult,2012,2012/07/25 22:20:00+00,b'_S\xf47\x04v\x8b',35,7D,708,399100,128100,,,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4600 BLOCK OF MARTIN LUTHER KING AVE SW,,,MARIJUANA_ARRESTS_2227,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14707,{868D052E-4CBC-4B20-ADA6-E9DECDBEE2FE}
Possession,Adult,2012,2012/07/25 22:50:00+00,b'*5V\xf4\xeeLE',22,7D,708,400000,128300,105,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,SOUTHERN AVE SE,402900,131200,MARIJUANA_ARRESTS_2228,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14708,{229BFB3F-C2AB-4134-B75E-AE6E393CA599}
Possession,Adult,2012,2012/07/25 22:53:00+00,b'ZTI\x97\x15\xdc-',21,6D,604,406000,134500,604,6D,B ,U ,F,Narcotics,Ucsa Possession Marijuana,800 BLOCK OF 51ST ST SE,406300,136900,MARIJUANA_ARRESTS_2229,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14709,{D9B6840B-AB11-4A9A-97BC-AA403267CB6C}
Distribution,Adult,2012,2012/07/25 22:53:00+00,b'ZTI\x97\x15\xdc-',37,6D,604,406000,134500,608,6D,B ,N ,M,Narcotics,Ucsa Distributing Marijuana,5000 BLOCK OF H ST SE,406000,134500,MARIJUANA_ARRESTS_2230,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14710,{BCD1DB85-5B6B-4716-AD6B-56284EB9DAE1}
Possession,Adult,2012,2012/07/25 23:36:00+00,b'\x1f\x98rF*HQ',28,5D,501,399100,138100,501,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,UNIT BLOCK OF FLORIDA AVE NW,399100,138200,MARIJUANA_ARRESTS_2231,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14711,{A8FE693B-3D9A-4593-9AD2-75E20E2CD57F}
Possession,Adult,2012,2012/07/26 00:40:00+00,b'\x1f\x98rF*HQ',28,5D,501,399100,138100,501,5D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,UNIT BLOCK OF Q ST NW,399100,138100,MARIJUANA_ARRESTS_2232,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14712,{883C858F-7BC8-417A-AC28-B354F576C420}
Possession,Adult,2012,2012/07/26 00:40:00+00,b'\x1f\x98rF*HQ',30,5D,501,399100,138100,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,UNIT BLOCK OF Q ST NW,399100,138100,MARIJUANA_ARRESTS_2233,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14713,{B898F286-CC4C-4EC8-ADB6-F806AC251C5D}
Possession,Adult,2012,2012/07/26 02:05:00+00,b'\x19\xc4u\xd7\xcf\x99\x16',37,1D,103,399400,137200,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Poss Marijuana,UNIT BLOCK OF K ST NE,399400,137200,MARIJUANA_ARRESTS_2234,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14714,{AA47B681-8CBB-4BD8-96CB-5291A39BCE90}
Possession with intent to distribute,Adult,2012,2012/07/26 21:25:00+00,"b',\x02\x04\xd5\x16\x98\x80'",26,7D,707,399600,129500,704,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,MISSISSIPPI AVE SE,400400,130100,MARIJUANA_ARRESTS_2235,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14715,{09E98BE7-F5CF-4BF5-96C3-DCCD2C405B50}
Possession,Adult,2012,2012/07/26 21:40:00+00,b'Q\xc3j4s\xd3Q',36,7D,706,400400,129000,706,7D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,BARNABY / CHESAPEAKE ST SE,,,MARIJUANA_ARRESTS_2236,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14716,{5B8DF729-11B0-4664-BDE4-029398CEFAB9}
Possession with intent to distribute,Adult,2012,2012/07/26 21:55:00+00,b'\xb2\xdf{^\x06[\xa6',36,7D,706,400100,128900,708,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4200 BLOCK OF 6TH ST SE,400100,128900,MARIJUANA_ARRESTS_2237,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14717,{44A8442C-DB4C-43ED-A531-E529FDCB5D07}
Possession,Adult,2012,2012/07/26 22:44:00+00,b'b\x8918\xf7\xe4\xec',26,1D,103,399000,137300,308,3D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,UNIT BLOCK OF K ST NW,399000,137300,MARIJUANA_ARRESTS_2238,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14718,{B5E27AA0-58D3-47F1-ACD4-1DCB39FE205D}
Possession with intent to distribute,Juvenile,2012,2012/07/26 04:00:00+00,,,5D,501,,,604,6D,,,,Narcotics,Ucsa Pwid Marijuana,,,,MARIJUANA_ARRESTS_2239,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14719,{FCFD82A9-281A-4685-90D4-FD3E0A12BAF3}
Possession,Adult,2012,2012/07/27 06:41:00+00,b'\xe6\x04\xfc\x9b\xf2m^',18,3D,305,397600,138800,507,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,U ST NW,397900,138800,MARIJUANA_ARRESTS_2240,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14720,{4BA74E07-13FE-46A5-B88E-E38EF4EFE790}
Possession with intent to distribute,Adult,2012,2012/07/27 20:30:00+00,"b'\xb6\xbe\xacZ;\xfa\x90'",22,7D,705,401000,130500,705,7D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,CONGRESS ST SE,,,MARIJUANA_ARRESTS_2241,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14721,{9889DFB8-F251-419C-83B6-103A7EDFB933}
Possession,Adult,2012,2012/07/28 01:57:00+00,b'(r\x06\xcd\x90\x0b\x7f',23,5D,507,402700,136700,501,5D,U,N ,M,Narcotics,Ucsa Poss Marijuana,2400 BLOCK OF BENNING RD NE,402700,136700,MARIJUANA_ARRESTS_2242,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14722,{7A801B9D-A2B7-48FB-A924-56315FF73491}
Possession,Adult,2012,2012/07/28 19:05:00+00,b'\xdf\xe4\xf8\x18\xa3\x9d\xf0',19,6D,604,407300,135700,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,UNIT BLOCK OF 57TH ST SE,407000,135700,MARIJUANA_ARRESTS_2243,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14723,{9C4E23BF-B9F5-4C34-A4FB-7D6EC53E4C15}
Possession with intent to distribute,Adult,2012,2012/07/28 21:00:00+00,b'\x02\x7f\xf5\x06j\x84\x7f',28,7D,706,400800,129600,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4000 BLOCK OF WHEELER RD SE,400800,129600,MARIJUANA_ARRESTS_2244,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14724,{20460DAA-1131-4C0A-9F26-50BC1946D16F}
Possession,Adult,2012,2012/07/28 22:14:00+00,b'\xf0t8\x1a\xd1\xb7&',18,6D,608,406800,136000,608,6D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,200 BLOCK OF 56TH ST NE,406800,136000,MARIJUANA_ARRESTS_2245,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14725,{E7FC7194-CC42-48EB-9868-4F5EC588175E}
Possession,Adult,2012,2012/07/28 22:18:00+00,b'7\x83L\xe3|\xe8\x1d',28,7D,704,401800,130700,704,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3400 BLOCK OF STANTON RD SE,401800,130700,MARIJUANA_ARRESTS_2246,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14726,{E690F357-8A3C-42B4-B6EC-82CFDC96E61F}
Possession,Adult,2012,2012/07/28 23:38:00+00,b'\xad\x83\xc5\xfd}\xe2\xa6',40,5D,507,401500,136900,507,5D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1500 BLOCK OF MARYLAND AVE NE,401500,136900,MARIJUANA_ARRESTS_2247,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14727,{BCD268B4-6DC6-4C4C-BD8B-5F25B977E87A}
Possession,Adult,2012,2012/07/29 00:00:00+00,"b""\x19\x9b'1\x9f&\xc0""",25,5D,503,402300,138600,706,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,FLORIDA AVE NW,397400,139200,MARIJUANA_ARRESTS_2248,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14728,{BB86C408-A2DD-4F0D-B9CB-99C905FE25CB}
Possession,Adult,2012,2012/07/29 00:30:00+00,b'Z\xf8\xa6\xf5\x80\x97Y',40,1D,105,399200,134600,301,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,200 BLOCK OF N ST SW,398800,134100,MARIJUANA_ARRESTS_2249,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14729,{66F7658E-03FB-49F9-94BE-6A8A1ED2E7D0}
Possession,Adult,2012,2012/07/29 01:39:00+00,b'\x05\x93\xa9\r\x93U\xf1',24,5D,507,402200,136700,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Poss Marijuana,2000 BLOCK OF BENNING RD NE,402200,136700,MARIJUANA_ARRESTS_2250,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14730,{983629B1-1293-43B8-8631-A350DC16698A}
Possession,Adult,2012,2012/07/29 01:47:00+00,b'\x17\xfe60\xdd\xde\x91',27,1D,102,398100,137000,101,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,K ST NW,396300,137200,MARIJUANA_ARRESTS_2251,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14731,{CCFE3755-8787-4C9D-AEE5-5065F2789584}
Possession,Adult,2012,2012/07/29 05:29:00+00,b'\x0bH>6\xb5\xecP',31,6D,602,406100,136100,,,B ,U ,M,Narcotics,Ucsa Possession Marijuana,200 BLOCK OF 50TH ST NE,406100,136100,MARIJUANA_ARRESTS_2252,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14732,{4957C5AC-EA4D-4FC0-84AB-2302A4AB3A11}
Possession,Adult,2012,2012/07/29 06:10:00+00,b'\xa1\x92\x1c\xf2\xce\xe4\xeb',21,3D,303,396300,139200,607,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,18TH ST NW,396300,139300,MARIJUANA_ARRESTS_2253,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14733,{B81DC025-25CF-4882-A738-0B126DC1D94B}
Possession,Adult,2012,2012/07/29 06:30:00+00,b'6~)9d\x9b\x85',20,3D,303,,,506,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF ONTARIO RD NW,396500,139300,MARIJUANA_ARRESTS_2254,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14734,{6A206DF5-5BF8-45BA-BE51-D8A4657637F2}
Possession,Adult,2012,2012/07/29 19:25:00+00,b'\xbb\xfd\x83S\xfaua',34,7D,708,399900,128700,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4400 BLOCK OF 3RD ST SE,399900,128700,MARIJUANA_ARRESTS_2255,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14735,{8B7BF7D9-665D-4883-8047-5DEB055B1DF3}
Possession,Adult,2012,2012/07/29 22:11:00+00,b'A\x9f\x04\x19k\xa0\xb9',23,5D,501,399100,138800,105,1D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,UNIT BLOCK OF U ST NW,399100,138800,MARIJUANA_ARRESTS_2256,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14736,{9E325544-559A-4B7C-9153-EB6297BF7AD8}
Possession,Adult,2012,2012/07/30 05:15:00+00,b'\x1b\xed\x0b\xb8\xd0\x17H',55,5D,505,401700,138800,505,5D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1600 BLOCK OF NEW YORK AVE NE,401700,138800,MARIJUANA_ARRESTS_2257,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14737,{D8D7AD10-E14E-4FE9-914F-AA0EB47E93A0}
Possession,Adult,2012,2012/07/31 03:05:00+00,b'm\xc4K\xf5H4a',21,3D,302,397400,140000,302,3D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF COLUMBIA RD,397400,140000,MARIJUANA_ARRESTS_2258,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14738,{1CA067C8-C2D9-4283-AABD-1E46C1AFA788}
Possession,Adult,2012,2012/07/31 07:45:00+00,b'\xba\xd8\xb6j\xd4\xd4\x8b',35,2D,208,396100,138500,408,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,800 BLOCK OF FLORIDA AVE NW,398000,138800,MARIJUANA_ARRESTS_2259,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14739,{24F865A1-2934-4960-8170-64589DCA4232}
Possession with intent to distribute,Adult,2012,2012/07/31 20:41:00+00,b'\xe3L\xef\xa4\x97BJ',25,5D,504,402100,140500,Out of State,Out of State,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,20TH ST NE / LAWRENCE ST NE,402100,140500,MARIJUANA_ARRESTS_2260,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14740,{940EA2CE-4F71-4666-BFBB-A62DEAF326A6}
Possession,Adult,2012,2012/07/31 22:30:00+00,b'\xbc\x7f\xef!F\xb4\xd1',41,1D,108,401600,134600,108,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,KENTUCKY AVE SE,,,MARIJUANA_ARRESTS_2261,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14741,{C45B7C18-79DC-4C38-8A9F-B69D05D4A66D}
Possession,Adult,2012,2012/07/31 23:01:00+00,b'\xeb\x14a\x0fkZ\x92',19,3D,302,398000,140500,302,3D,U,H ,M,Narcotics,Ucsa Possession Marijuana,600 BLOCK OF PARK RD NW,398000,140500,MARIJUANA_ARRESTS_2262,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14742,{93A2028D-BC5C-4535-8B81-AEFDFBDF4622}
Possession,Adult,2012,2012/07/31 23:50:00+00,b'\x14\x13\\+\xcd\xe0\x11',18,1D,103,399100,137400,103,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1100 BLOCK OF 1ST PL NW,399100,137500,MARIJUANA_ARRESTS_2263,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14743,{98B7AB7F-CCE5-4619-ADE0-747D08C92076}
Possession,Adult,2012,2012/07/31 23:57:00+00,b'\x01\xa0s\x9f\xf9\x10\x96',18,4D,402,398400,144600,405,4D,U,H ,M,Narcotics,Ucsa Poss Marijuana,300 BLOCK OF VAN BUREN ST NW,398400,144600,MARIJUANA_ARRESTS_2264,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14744,{F9ACD90A-A426-41FE-8AF3-C249EC7DD08B}
Possession,Adult,2012,2012/08/01 00:30:00+00,"b""`K\xf3\x88\x07'\xf1""",22,3D,303,396500,139000,303,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2200 BLOCK OF CHAMPLAIN ST NW,396500,139000,MARIJUANA_ARRESTS_2265,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14745,{51688B0A-E3D0-4877-800A-DDD42E1B0DE8}
Possession with intent to distribute,Adult,2012,2012/08/01 00:30:00+00,"b""\x11\xec\xdan\xdf\xd9'""",29,1D,108,401500,134700,702,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF KENTUCKY AVE SE,401600,134600,MARIJUANA_ARRESTS_2266,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14746,{1B604AAA-2CE2-4104-AD59-618BFEDFFEA6}
Possession with intent to distribute,Adult,2012,2012/08/01 00:30:00+00,"b""\x11\xec\xdan\xdf\xd9'""",39,1D,108,401500,134700,108,1D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF KENTUCKY AVE SE,401600,134600,MARIJUANA_ARRESTS_2267,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14747,{88E71297-EE9B-4F2C-8D8D-72058E1F807E}
Possession with intent to distribute,Adult,2012,2012/08/01 00:30:00+00,"b""\x11\xec\xdan\xdf\xd9'""",41,1D,108,401500,134700,706,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF KENTUCKY AVE SE,401600,134600,MARIJUANA_ARRESTS_2268,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14748,{0B0FA648-2EB5-41D5-98C2-0963A2F09131}
Possession with intent to distribute,Adult,2012,2012/08/01 00:30:00+00,"b""\x11\xec\xdan\xdf\xd9'""",42,1D,108,401500,134700,108,1D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,800 BLOCK OF KENTUCKY AVE SE,401600,134600,MARIJUANA_ARRESTS_2269,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14749,{7D39ACF0-113B-447E-BB7E-59C3003ED7CE}
Possession,Adult,2012,2012/08/01 00:44:00+00,b'\xcb\xf6\xdb\x96xc\xb0',21,4D,409,397200,140700,409,4D,U,H ,M,Narcotics,Ucsa Possession Marijuana,OAK ST NW,397200,140700,MARIJUANA_ARRESTS_2270,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14750,{E9D4977F-DDBB-4969-BB1D-1655FA81DBD4}
Possession with intent to distribute,Adult,2012,2012/08/01 00:45:00+00,b't\xd3\x81EP\xba\xe9',18,7D,707,399600,130300,707,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3400 BLOCK OF MARTIN LUTHER KING AVE SE,399600,130300,MARIJUANA_ARRESTS_2271,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14751,{EB8DEBD5-C655-4CF3-BFB2-D283F7A78F36}
Possession,Adult,2012,2012/08/01 00:55:00+00,b'\x91\xd3\xf0Y\xe8\xc27',21,7D,708,399800,129000,708,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,3RD ST SE,399900,128600,MARIJUANA_ARRESTS_2272,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14752,{B5BCF235-0E27-4DF7-B600-15B95FA81CCB}
Possession,Adult,2012,2012/08/01 01:39:00+00,b'\xe4\xc8\xce\xf9} \xfd',26,5D,507,402100,137500,506,5D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,19TH ST NE / M ST NE,402100,137500,MARIJUANA_ARRESTS_2273,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14753,{93941BFC-D69F-494F-892E-0DECE04541B6}
Possession with intent to distribute,Adult,2012,2012/08/01 09:11:00+00,b'(\xa6R\xadQ=\xc9',31,6D,607,402700,133700,605,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1500 BLOCK OF 27TH ST SE,402700,133700,MARIJUANA_ARRESTS_2274,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14754,{DA19FD79-5933-41E0-8119-17FE72CAEFF2}
Possession,Adult,2012,2012/08/01 15:50:00+00,b'\xe6\x92\xe3\x0e\n\xf2B',64,4D,408,396800,140400,,,B ,U ,M,Narcotics,Ucsa Possession Marijuana,16TH / PARK RD NW,,,MARIJUANA_ARRESTS_2275,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14755,{2B064773-4DA5-402E-9FA4-09440F6301CE}
Possession,Adult,2012,2012/08/01 16:30:00+00,b'\xd9\xef\xca:\xc3\t\xe2',48,3D,307,397700,137700,504,5D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,11TH / N ST NW,397700,137700,MARIJUANA_ARRESTS_2276,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14756,{485E3B05-E454-441E-8CDC-749375AAF7D9}
Possession with intent to distribute,Adult,2012,2012/08/01 21:15:00+00,b'{l\xb6R\xcbpY',19,6D,604,405600,135200,108,1D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,4600 BLOCK OF BENNING RD SE,405600,135200,MARIJUANA_ARRESTS_2277,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14757,{E76C0453-8908-481A-8037-7476A5964205}
Possession,Adult,2012,2012/08/01 22:00:00+00,b'\xd7\x0cb\x81\x05k4',19,7D,706,401000,129200,706,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,SOUTHERN AVE SE,402900,131200,MARIJUANA_ARRESTS_2278,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14758,{26864629-83DD-4E24-B0B1-50C7E987C624}
Possession,Adult,2012,2012/08/01 22:20:00+00,"b'\xc4\xf1,\x17\x843\xf5'",30,7D,708,399900,128200,706,7D,W ,H ,M,Narcotics,Ucsa Possession Marijuana,4700 BLOCK OF SOUTH CAPITAL ST SE,399900,128200,MARIJUANA_ARRESTS_2279,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14759,{D3153D77-7FB2-4CF2-91F6-1E0632C2BB53}
Possession,Adult,2012,2012/08/01 23:05:00+00,"b'hO\xea\xc6\xbf\xe6,'",20,6D,608,405400,135800,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,4500 BLOCK OF BENNING RD SE,405400,135800,MARIJUANA_ARRESTS_2280,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14760,{7A8D22E0-BE12-4089-830B-7280E7E4DA26}
Possession,Adult,2012,2012/08/01 23:30:00+00,b'\xf1\xb3\xdb\nV\x8b\xa8',21,6D,604,406400,135400,702,7D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,5200 BLOCK OF ASTOR PL SE,,,MARIJUANA_ARRESTS_2281,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14761,{93AC2B57-A370-4824-A918-71044A7D6D83}
Possession,Adult,2012,2012/08/01 23:30:00+00,b'\xf1\xb3\xdb\nV\x8b\xa8',22,6D,604,406400,135400,704,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5200 BLOCK OF ASTOR PL SE,,,MARIJUANA_ARRESTS_2282,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14762,{A8E587B6-BCE2-4928-940A-4A776A7831DB}
Distribution,Adult,2012,2012/08/01 23:30:00+00,b'\xf1\xb3\xdb\nV\x8b\xa8',28,6D,604,406400,135400,603,6D,B ,U ,M,Narcotics,Ucsa Distributing Marijuana,100 BLOCK OF 53RD ST SE,405000,136100,MARIJUANA_ARRESTS_2283,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14763,{EAEE5FCA-1805-4253-80C7-321BFE282CDF}
Possession with intent to distribute,Adult,2012,2012/08/02 01:00:00+00,"b',\xe2\xe7\xcd\xb3\xf7\xd1'",41,6D,603,404100,135200,603,6D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF 37TH ST SE,404100,135200,MARIJUANA_ARRESTS_2284,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14764,{99B336FD-9BE7-4709-93CD-FE17C790FEC4}
Possession with intent to distribute,Adult,2012,2012/08/02 01:17:00+00,b'\xa3\x92\x9b\xd9\x1c\x92\x0c',24,6D,603,403900,135700,602,6D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,3500 BLOCK OF EAST CAPITOL ST SE,403900,135700,MARIJUANA_ARRESTS_2285,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14765,{79C12883-1E3F-4593-AB70-016576D8988F}
Distribution,Adult,2012,2012/08/02 04:43:00+00,b'3\xfcMMR\xc5\xcd',24,6D,603,404100,135500,603,6D,B ,N ,M,Narcotics,Ucsa Distributing Marijuana,37TH PL SE,404200,135200,MARIJUANA_ARRESTS_2286,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,14766,{A02D6BA8-0FAF-4563-8CF7-637DB2CA435E}
